,Artist,Song,Days,T10,Pk,Total,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
26,Fifth Harmony,Work from Home,518,140.0,2,691600792,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593
27,Shawn Mendes,Treat You Better,538,82.0,4,687335906,76t5B0ttSAje5KHmQbv88t,0.107,0.683,187973,0.797,0.0,10,0.114,-4.085,0,0.246,82.916,4,0.758
28,Camila Cabello,Havana,206,172.0,1,684978484,0ofbQMrRDsUaVKq2mGLEAb,0.186,0.768,216897,0.517,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418
29,DJ Khaled,I'm the One,304,111.0,2,681948101,3DXncPQOG4VBw3QHh3S817,0.0552,0.609,288600,0.668,0.0,7,0.167,-4.284,1,0.0367,80.924,4,0.811
30,Lukas Graham,7 Years,600,97.0,2,680493258,5kqIPrATaCc2LqxVWzQGbk,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,1,0.0514,119.992,4,0.34
31,Clean Bandit,Rockabye,457,98.0,3,669790211,5knuzwU65gJK7IF5yJsuaW,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
32,Dua Lipa,New Rules,231,160.0,2,668951445,2ekn2ttSfGqwhhate0LSR0,0.00256,0.771,208827,0.696,9.71e-06,9,0.179,-6.258,0,0.0755,116.054,4,0.656
33,Lil Uzi Vert,XO TOUR Llif3,337,7.0,9,663558531,2eMwDehkIC1j68U6FA3Eiq,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
34,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),433,89.0,2,650059893,3NdDpSvN911VPGivFlV5d0,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
35,Bruno Mars,That's What I Like,463,57.0,5,648442911,0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
36,Adele,Hello,506,106.0,1,646526963,0ENSn4fwAbCGeFGVUbXEU3,0.336,0.481,295493,0.451,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,0.289
37,Rihanna,Work,414,99.0,1,641097713,14WWzenpaEgQZlqPq2nk4v,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558
38,Kygo,It Ain't Me,368,98.0,2,639268945,3eR23VReFzcdmS7TYCrhCe,0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
39,Shawn Mendes,Stitches,683,142.0,5,635743564,1WP1r7fuvRqZRnUaTi2I1Q,0.0152,0.746,206880,0.754,0.0,1,0.0486,-6.681,1,0.067,149.882,4,0.764
40,The Weeknd,Can't Feel My Face,571,189.0,1,631577771,6RsWqX8zABZLhZydXxEFOm,0.124,0.702,213520,0.77,0.0,9,0.103,-5.416,0,0.0482,107.951,4,0.593
41,Ed Sheeran,Perfect,360,102.0,3,627452579,0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
42,Twenty One Pilots,Heathens,436,85.0,4,621015025,6i0V12jOa3mr6uu4WYhUBr,0.0841,0.732,195920,0.396,3.58e-05,4,0.105,-9.348,0,0.0286,90.024,4,0.548
43,Charlie Puth,We Don't Talk Anymore,684,8.0,9,618222959,06KyNuuMOX1ROXRhj787tj,0.621,0.728,217707,0.563,0.0,1,0.179,-8.053,0,0.134,100.017,4,0.352
44,Post Malone,Congratulations,402,,20,617765052,3a1lNhkSLSkpJE4MSHpDu9,0.198,0.627,220293,0.812,0.0,6,0.212,-4.215,1,0.0358,123.071,4,0.504
45,Charlie Puth,Attention,311,95.0,5,612272778,4iLqG9SeJSnt0cSPICSjxv,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777
46,Imagine Dragons,Thunder,304,20.0,7,610211706,0tKcYR2II1VCQWT79i5NrW,0.00683,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,0.298
47,Desiigner,Panda,497,93.0,3,609762129,5OOkp4U9P9oL23maHFHL1h,0.028,0.576,246761,0.766,1.68e-06,10,0.366,-4.943,0,0.449,144.833,4,0.236
48,Major Lazer,Light It Up,524,3.0,8,605924015,6lDo13SSgTv0WbyUQKgnjk,0.0369,0.736,166138,0.879,0.000736,9,0.233,-3.782,0,0.0696,107.976,4,0.757
49,J Balvin,Mi Gente,241,101.0,1,596020878,2rb5MvYT7ZIxbKW5hfcHx8,0.0148,0.543,189440,0.677,6.21e-06,11,0.13,-4.915,0,0.0993,103.809,4,0.294
50,Drake,Hotline Bling,556,130.0,1,591265781,6nmz4imkDcmtwMjocAzFSx,0.00257,0.896,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.962,4,0.585
51,Mark Ronson,Uptown Funk,705,151.0,1,583532800,32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,269667,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,0.928
52,Martin Garrix,In The Name Of Love,414,70.0,5,575747087,23L5CiUhw2jV1OIMwthR3S,0.109,0.501,195707,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,4,0.168
53,The Weeknd,I Feel It Coming,430,56.0,4,571545976,4RepvCWqsP6zBuzvwYibAS,0.429,0.769,269187,0.813,0.0,0,0.0952,-5.9,0,0.143,92.985,4,0.567
54,OMI,Cheerleader - Felix Jaehn Remix Radio Edit,653,181.0,2,568223075,4fTHdMTq0Znl3djLI1Typn,0.184,0.827,180021,0.576,0.029,4,0.0656,-7.774,1,0.0372,118.04,4,0.41
55,Zedd,Stay,364,78.0,5,567589746,0dA2Mk56wEzDgegdC6R17g,0.232,0.679,210091,0.634,0.0,5,0.115,-5.024,0,0.0654,102.013,4,0.498
56,Imagine Dragons,Believer,389,,15,563880869,0CcQNd8CINkwQfe1RDtGV6,0.0524,0.779,204347,0.787,0.0,10,0.14,-4.305,0,0.108,124.982,4,0.708
57,G-Eazy,"Me, Myself & I",490,101.0,3,560137570,40YcuQysJ0KlGQTeGUosTC,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.996,4,0.382
58,Future,Mask Off,372,59.0,5,555447576,3rOSwuTsUlJp0Pu0MkN8r8,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281
59,Danny Ocean,Me Rehúso,374,,18,554878605,6De0lHrwBfPfrhorm9q1Xl,0.0231,0.744,205715,0.804,0.0,1,0.0494,-6.327,1,0.0677,104.823,4,0.426
60,Jason Derulo,Swalla,364,43.0,5,548641178,6kex4EBAj0WHXDKZMEJaaF,0.075,0.696,216409,0.817,0.0,1,0.187,-3.862,1,0.109,98.064,4,0.782
61,Zara Larsson,Lush Life,637,,14,545990676,0r4SsYcwvd8URat6AS2m6f,0.133,0.694,201122,0.712,0.0,7,0.211,-3.923,0,0.046,98.022,4,0.799
62,DNCE,Cake By The Ocean,559,,12,540907345,2Aa1wE8ofs2tu59TOQrZKW,0.156,0.774,218440,0.765,0.0,4,0.0523,-5.503,0,0.0517,119.018,4,0.908
63,Drake,Too Good,339,117.0,5,539908098,11KJSRSgaDxqydKYiD2Jew,0.0573,0.804,263373,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392
64,Twenty One Pilots,Ride,546,9.0,9,534455760,2Z8WuEywRWYTKe1NybPQEW,0.00835,0.645,214507,0.713,0.0,6,0.113,-5.355,1,0.0393,74.989,4,0.566
65,Ariana Grande,Side To Side,414,73.0,6,532993860,4pLwZjInHj3SimIyN9SnOz,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.883,0,0.247,159.145,4,0.603
66,The Chainsmokers,Paris,347,77.0,2,530919495,15vzANxN8G9wWfwAJLLMCg,0.0243,0.646,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251
67,Shawn Mendes,There's Nothing Holdin' Me Back,312,34.0,5,530870919,79cuOz3SPQTuFrp8WgftAu,0.381,0.857,199440,0.8,0.0,2,0.0913,-4.035,1,0.0583,121.996,4,0.966
68,The Weeknd,The Hills,624,80.0,3,530521729,25khomWgBVamSdKw7hzm3l,0.0861,0.356,242253,0.567,0.0,0,0.137,-7.011,0,0.0798,135.553,5,0.109
69,Hozier,Take Me To Church,758,139.0,1,528446728,7dS5EaCoMnN7DzlpT6aRn2,0.634,0.566,241688,0.664,0.0,4,0.116,-5.303,0,0.0464,128.945,4,0.437
70,Logic,1-800-273-8255,302,55.0,3,525930365,5tz69p7tJuGPeMGwNTxYuV,0.57,0.629,250173,0.572,0.0,5,0.192,-7.733,0,0.0387,100.015,4,0.386
71,Bruno Mars,24K Magic,434,43.0,5,524636980,6b8Be6ljOzmkOmFslEb23P,0.034,0.818,225983,0.803,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632
72,Ed Sheeran,Castle on the Hill,388,70.0,2,521204441,6PCUP3dWmTjcTtXY02oFdT,0.0232,0.461,261154,0.834,1.14e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.471
73,Jack Ü,Where Are Ü Now,549,144.0,3,519124349,66hayvUbTotekKU3H4ta1f,0.041,0.432,250286,0.781,4.21e-06,4,0.0789,-4.038,0,0.0567,139.432,4,0.197
74,Clean Bandit,Symphony,344,11.0,9,508523075,1x5sYLZiu9r5E43kMlt9f8,0.259,0.707,212459,0.629,1.6e-05,0,0.138,-4.581,0,0.0563,122.863,4,0.457
75,Ed Sheeran,Galway Girl,360,35.0,2,507844017,0afhq8XCExXpqazXczTSve,0.0735,0.624,170827,0.876,0.0,9,0.327,-3.374,1,0.1,99.943,4,0.781
76,Sam Smith,Stay With Me,893,147.0,2,507373294,7IHOIqZUUInxjVkko181PB,0.566,0.5,172724,0.418,0.000193,0,0.11,-6.535,1,0.0377,84.899,4,0.176
77,Hailee Steinfeld,Starving,409,,11,506026369,6DG2g1UhROp5pnM8fx7zH2,0.379,0.695,181880,0.615,0.0,4,0.104,-4.194,1,0.104,99.817,4,0.532
78,Jonas Blue,Fast Car,432,31.0,10,498114284,6OZh916QF8XNunWaP97WEZ,0.453,0.459,212424,0.587,0.0,9,0.307,-6.983,1,0.0785,113.901,4,0.581
79,Julia Michaels,Issues,401,4.0,9,494192874,1sXUWdKx03aP9Gmzft58rt,0.368,0.683,176347,0.427,0.0,8,0.0604,-6.827,1,0.0777,113.634,4,0.426
80,Martin Garrix,Scared To Be Lonely,381,27.0,5,485185099,3ebXMykcMXOcLeJ9xZ17XH,0.0895,0.584,220883,0.54,0.0,1,0.261,-7.786,0,0.0576,137.972,4,0.195
81,DJ Khaled,Wild Thoughts,254,79.0,2,485083672,1OAh8uOEOvTDqkKFsKksCi,0.0329,0.671,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632
82,ZAYN,PILLOWTALK,413,87.0,1,484589224,0PDUDa38GO8lMxLCRc4lL1,0.117,0.584,202747,0.7,0.0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438
83,The Chainsmokers,Roses,488,43.0,7,482541088,3vv9phIu6Y1vX3jcqaGz5Z,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343
84,Wiz Khalifa,See You Again,567,111.0,1,480069378,7wqSzGeodspE3V6RBD5W8L,0.369,0.689,229526,0.481,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,4,0.283
85,gnash,"i hate u, i love u",403,,13,476399590,7vRriwrloYVaoAe3a9wJHe,0.687,0.492,251034,0.275,0.0,6,0.101,-13.4,0,0.3,92.6,4,0.18
86,Liam Payne,Strip That Down,283,59.0,8,468463402,6EpRaXYhGOB3fj4V2uDkMJ,0.246,0.869,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,0.527
87,Drake,Fake Love,329,68.0,5,468058701,6NMNgWgEAzde5M8U3lc6FN,0.182,0.924,207813,0.543,0.0,9,0.103,-7.474,0,0.298,133.907,4,0.736
88,Sam Smith,Too Good At Goodbyes,171,98.0,1,462608035,1mXVgsBdtIVeCLJnSnmtdV,0.652,0.698,201000,0.375,0.0,5,0.173,-8.279,1,0.0491,91.92,4,0.534
89,Robin Schulz,Sugar,488,35.0,7,461442340,5tf1VVWniHgryyumXyJM7w,0.0185,0.636,219043,0.815,0.0,5,0.163,-5.098,0,0.0581,123.063,4,0.636
90,Drake,Passionfruit,340,40.0,2,457144866,7hDc8b7IXETo14hHIHdnhd,0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,4,0.364
91,Starley,Call On Me - Ryan Riback Extended Remix,330,,12,457018897,78rIJddV4X0HkNAInEcYde,0.0623,0.676,222041,0.843,0.000752,0,0.181,-4.068,1,0.0367,105.003,4,0.718
92,Sia,Chandelier,791,124.0,2,453681884,4VrWlk8IQxevMvERoX08iC,0.0197,0.399,216120,0.787,6.07e-05,1,0.0685,-2.88,1,0.0499,117.089,5,0.572
93,Maroon 5,Sugar,630,79.0,3,450265505,5eWgDlp3k6Tb5RD8690s6I,0.0553,0.744,235493,0.783,0.0,1,0.086,-7.077,1,0.0337,120.042,4,0.885
94,Maroon 5,Don't Wanna Know,284,90.0,4,449618312,5MFzQMkrl1FOOng9tq6R9r,0.338,0.783,214480,0.623,0.0,7,0.0975,-6.126,1,0.08,100.048,4,0.447
95,Calvin Harris,Feels,254,74.0,5,449386469,5bcTCxgc7xVfSaMV3RuVke,0.0642,0.893,223413,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,0.872
96,Marshmello,Silence,199,61.0,7,449193278,7vGuf3Y35N4wmASOKLUVVU,0.256,0.52,180823,0.761,4.96e-06,4,0.17,-3.093,1,0.0853,141.971,4,0.286
97,Maluma,Felices los 4,311,,16,446437254,0qYTZCo5Bwh1nsUFGZP3zn,0.231,0.755,229849,0.789,0.0,5,0.351,-4.502,1,0.146,93.973,4,0.737
98,Rihanna,Needed Me,405,,13,445954825,1Tt4sE4pXi57mTD1GCzsqm,0.107,0.688,191600,0.325,0.0,5,0.0837,-8.083,0,0.251,110.888,4,0.275
99,Maroon 5,What Lovers Do,180,78.0,4,436380651,3hBBKuWJfxlIlnd9QFoC8k,0.0786,0.795,199849,0.615,2.98e-06,5,0.0855,-5.211,0,0.0671,110.009,4,0.393
100,DJ Snake,Middle,443,,15,436216031,2Fn3coxd0xAZ09JtrgcgHa,0.0161,0.604,220573,0.745,0.0,9,0.0542,-4.103,1,0.0385,104.941,4,0.205
101,Jonas Blue,Perfect Strangers,409,,12,434087179,1CUVN2kn7mW5FjkqXTR2W1,0.372,0.742,196613,0.819,0.0,1,0.277,-5.307,1,0.0487,117.986,4,0.709
102,Jonas Blue,Mama,293,,11,433101942,0NiXXAI876aGImAd6rTj8w,0.11,0.746,181615,0.793,0.0,11,0.0528,-4.209,0,0.0412,104.027,4,0.557
103,Calvin Harris,How Deep Is Your Love,442,98.0,3,425117823,22mek4IiqubGD9ctzxc69s,0.0389,0.738,212640,0.868,0.00171,11,0.388,-4.373,0,0.0731,122.003,4,0.336
104,Khalid,Location,387,,33,422992033,152lZdxL1OR0ZMW6KquMif,0.33,0.736,219080,0.449,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,0.326
105,Shakira,Chantaje,351,,11,419645589,1WniHvhq9zTkny0WvGXX8o,0.168,0.859,195613,0.756,4.65e-05,8,0.163,-3.36,0,0.0643,102.033,4,0.91
106,David Guetta,2U,218,76.0,3,414121411,3A7qX2QjDlPnazUsRk5y0M,0.219,0.548,194897,0.65,0.0,8,0.225,-5.827,0,0.0591,144.937,4,0.557
107,Ellie Goulding,Love Me Like You Do,525,98.0,2,407547214,7y2YUIyCuVhBidENVT0068,0.281,0.258,252539,0.631,0.0,5,0.127,-6.617,0,0.0541,189.583,4,0.266
108,Axwell /\ Ingrosso,More Than You Know,274,,14,407510834,3PEgB3fkiojxms35ntsTgs,0.034,0.644,203000,0.743,0.0,5,0.257,-5.002,0,0.0355,123.074,4,0.544
109,Demi Lovato,Sorry Not Sorry,230,16.0,7,406689516,3m660poUr1chesgkkjQM7P,0.0214,0.704,203760,0.633,0.0,11,0.29,-6.923,0,0.241,144.021,4,0.863
110,Fetty Wap,Trap Queen,554,68.0,7,404484530,2d8JP84HNLKhmd6IYOoupQ,0.0244,0.746,222093,0.873,0.0,7,0.354,-3.803,1,0.128,148.075,4,0.817
111,Calvin Harris,Slide,256,,12,403826951,6gpcs5eMhJwax4mIfKDYQk,0.498,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511
112,Shawn Mendes,Mercy,405,,19,402322468,3OalxlWH0v14kyBcNBMINt,0.113,0.562,208733,0.681,0.0,11,0.11,-4.934,0,0.0871,148.064,4,0.357
113,Rae Sremmurd,Black Beatles,306,56.0,1,396390487,6fujklziTHa8uoM5OQSfIo,0.13,0.794,291893,0.646,0.0,0,0.14,-6.235,1,0.0614,145.931,4,0.322
114,ZAYN,Dusk Till Dawn,172,72.0,3,395306525,1j4kHkkpqZRBwE0A4CN4Yv,0.101,0.258,239000,0.437,1.27e-06,11,0.106,-6.593,0,0.039,180.043,4,0.0967
115,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),379,,13,392844373,4AOpEhqA7zHxQjkHmRrAp7,0.0807,0.79,195561,0.705,4.81e-05,0,0.251,-4.684,0,0.0383,121.969,4,0.501
116,Kygo,Firestone,579,53.0,4,388100502,2sNvitW3TxiTeC9xT9f2ZZ,0.408,0.486,273684,0.652,6.63e-05,11,0.077,-7.226,0,0.052,113.055,4,0.391
117,Khalid,Young Dumb & Broke,247,,11,387626091,5Z3GHaZ6ec9bsiI5BenrbY,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
118,Childish Gambino,Redbone,459,,34,387117328,3kxfsdsCpFgN412fpnW85Y,0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4,0.587
119,Calvin Harris,My Way,276,34.0,7,382393243,1vvNmPOiUuyCbgWmtc6yfm,0.0935,0.819,219160,0.913,3.72e-05,4,0.161,-3.059,0,0.0427,119.989,4,0.536
120,Jason Derulo,Want To Want Me,499,97.0,3,382237095,7oGZAicScQt96OAW4AruYy,0.00906,0.775,207719,0.68,0.0,0,0.109,-5.508,0,0.0629,114.025,4,0.656
121,Ariana Grande,Into You,343,,12,379662706,7yHEDfrJNd0zWOfXwydNH0,0.0161,0.636,244453,0.727,1.12e-06,9,0.151,-5.852,1,0.106,107.988,4,0.358
122,Zara Larsson,Never Forget You,398,,21,376580925,6WLS56xiRrXjSm9RSdL3zD,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276
123,John Legend,All of Me,865,,16,373551781,3U4isOIWM3VvDubwSI3y7a,0.922,0.422,269560,0.264,0.0,8,0.132,-7.064,1,0.0322,119.93,4,0.331
124,Galantis,No Money,292,41.0,9,371953792,0gb1J5UrTpzaU1s3nupgCd,0.0282,0.671,189127,0.916,0.00762,6,0.24,-4.014,0,0.0397,126.01,4,0.803
125,Cheat Codes,Sex,328,6.0,10,368802602,5ZEM9j0jrFr5RdHEbl2MYV,0.00451,0.51,228361,0.692,0.0,0,0.138,-5.825,1,0.171,102.42,4,0.209
126,Zion & Lennox,Otra Vez,461,,38,368418918,3QwBODjSEzelZyVjxPOHdq,0.0559,0.832,209453,0.772,0.000486,10,0.44,-5.429,1,0.1,96.016,4,0.704
127,Mike Perry,The Ocean,284,,11,364142361,2CPqh63wRVscbceKcPxwvv,0.0225,0.632,183414,0.575,1.81e-06,5,0.104,-6.478,1,0.029,90.037,4,0.188
128,Lil Wayne,Sucker For Pain,348,19.0,10,362506220,4dASQiO1Eoo3RJvt74FtXB,0.255,0.502,243491,0.786,0.0,9,0.65,-4.378,0,0.317,169.021,4,0.739
129,Kyle,iSpy,337,,18,361067582,2EEeOnHehOozLq4aS0n6SL,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672
130,Post Malone,White Iverson,703,,36,359406346,6eT7xZZlB2mwyzJ2sUKG6w,0.216,0.674,256533,0.568,0.0,7,0.0863,-7.678,1,0.0349,130.081,4,0.321
131,D.R.A.M.,Broccoli,405,,23,358456348,7yyRTcZmCiyzzJlNzGC9Ol,0.236,0.886,225205,0.525,0.0,8,0.057,-7.39,1,0.131,145.99,4,0.708
132,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,309,,21,355991721,1NDxZ7cFAo481dtYWdrUnR,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733
133,Drake,Jumpman,500,,14,355521010,27GmP9AWRs744SzKcpJsTZ,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4,0.676
134,Wisin,Escápate Conmigo,328,,36,354127007,2cnKEkpVUSV4wnjQiTWfH6,0.0245,0.747,232787,0.864,4.46e-05,8,0.0853,-3.181,0,0.0599,92.028,4,0.754
135,Eminem,Lose Yourself - Soundtrack Version,1032,,110,351615743,7w9bgPAmPTtrkt2v16QWvQ,0.00971,0.701,326467,0.728,0.00115,2,0.361,-4.554,1,0.255,171.388,4,0.0591
136,Martin Jensen,Solo Dance,349,,24,350943414,6HUnnBwYZqcED1eQztxMBN,0.0435,0.744,174933,0.836,0.0,6,0.194,-2.396,0,0.0507,114.965,4,0.36
137,Travi$ Scott,goosebumps,420,,56,350389250,6gBFPUFcJLzWGx4lenP6h2,0.0847,0.841,243837,0.728,0.0,7,0.149,-3.37,1,0.0484,130.049,4,0.43
138,Kendrick Lamar,DNA.,314,15.0,3,349774296,6HZILIRieu8S0iqY8kIKhj,0.0047,0.637,185947,0.514,0.0,1,0.094,-6.763,1,0.365,139.931,4,0.402
139,Selena Gomez,Wolves,125,94.0,3,349588398,7EmGUiUaOSGDnUUQUDrOXC,0.139,0.715,197993,0.802,0.0,11,0.177,-4.647,0,0.0394,124.989,4,0.327
